device_ip,avg_packet_size,std_packet_size,total_packets,num_protocols,external_ips,tcp_ratio,udp_ratio
49.44.142.47,1267.290059982862,171.9915649869416,2334,1,0,0.0,1.0
49.44.185.80,1262.801704722636,185.66314833190364,28861,1,0,0.0,1.0
192.168.137.40,96.35254093132043,115.85999113391601,28218,9,32,0.01463604791267985,0.9821390601743568
142.250.4.132,1218.5228426395938,276.49110724165234,197,3,0,0.01015228426395939,0.9898477157360406
123.63.54.20,124.12844036697248,135.1640362065891,109,2,0,1.0,0.0
123.63.54.31,131.54545454545453,131.587509769251,11,2,0,1.0,0.0
172.217.174.238,166.59574468085106,280.5836819741915,47,4,0,0.0425531914893617,0.9574468085106383
74.125.24.119,1219.5739348370928,278.51670812688224,399,1,0,0.0,1.0
172.253.118.102,142.2463768115942,250.7101329398919,69,4,0,0.08695652173913043,0.9130434782608695
94.140.14.14,137.18055555555554,112.65169133328799,72,3,0,0.7083333333333334,0.0
123.63.54.4,69.5,21.920310216782973,2,2,0,1.0,0.0
129.227.254.13,69.5,21.920310216782973,2,2,0,1.0,0.0
fe80::88e9:a0ff:fe33:3239,116.0,16.112883044322018,17,2,3,0.0,0.0
8a:e9:a0:33:32:39,42.0,0.0,9,1,2,0.0,0.0
aa:cd:c4:6f:c5:33,42.0,0.0,9,1,1,0.0,0.0
92.223.116.254,74.0,13.856406460551018,3,2,0,1.0,0.0
216.239.32.223,115.93846153846154,162.8507634426261,65,1,0,0.0,1.0
57.144.48.144,135.66666666666666,95.70510261562163,6,2,0,0.5,0.0
57.144.48.196,263.73333333333335,378.67572637697083,30,3,0,0.1,0.8333333333333334
57.144.40.141,260.57142857142856,325.66847864537533,35,2,0,0.5714285714285714,0.0
150.171.22.12,601.00826446281,593.974669716195,121,3,0,0.2975206611570248,0.45454545454545453
172.217.24.238,256.5,346.2746020140663,26,3,0,0.07692307692307693,0.9230769230769231
49.44.142.50,75.0,5.773502691896258,4,1,0,0.0,1.0
49.44.227.80,75.0,5.773502691896258,4,1,0,0.0,1.0
123.63.54.52,96.66666666666667,73.55440163579607,9,2,0,1.0,0.0
57.144.49.33,245.82758620689654,345.03437395688957,29,2,0,0.4482758620689655,0.0
142.250.193.78,102.5,42.14656965084268,4,2,0,1.0,0.0
43.132.85.119,57.0,6.0,4,1,0,1.0,0.0
172.253.118.188,235.0,239.00209204105306,2,2,0,1.0,0.0
57.144.41.33,237.71794871794873,321.07016356635137,39,1,0,1.0,0.0
142.250.4.103,102.5,51.61879502661797,2,2,0,1.0,0.0
172.217.26.3,102.5,51.61879502661797,2,2,0,1.0,0.0
142.251.43.110,102.5,51.61879502661797,2,2,0,1.0,0.0
34.111.102.6,66.0,0.0,3,1,0,1.0,0.0
34.36.148.255,66.0,0.0,3,1,0,1.0,0.0
